wall_time_iso,elapsed_s,trim,command_ascii,stm32_response,voltage_mean_v,voltage_std_v,voltage_samples_v
2026-06-23T17:32:49,1.25,0,Trim:0\r\n,"mode:Trim
setting:0",-0.006866817,6.19556194734e-05,-0.006936211;-0.00684718;-0.006817059
2026-06-23T17:32:50,2.219,1,Trim:1\r\n,"mode:Trim
setting:1",0.142360567,0.000141981,0.1422875;0.14227;0.1425242
2026-06-23T17:32:51,3.187,2,Trim:2\r\n,"mode:Trim
setting:2",0.142929567,0.000561612,0.1425606;0.1426522;0.1435759
2026-06-23T17:32:52,4.156,3,Trim:3\r\n,"mode:Trim
setting:3",0.143140267,0.0004375,0.1428227;0.1429588;0.1436393
2026-06-23T17:32:53,5.125,4,Trim:4\r\n,"mode:Trim
setting:4",0.143595367,0.000513243,0.1430043;0.1438535;0.1439283
2026-06-23T17:32:54,6.094,5,Trim:5\r\n,"mode:Trim
setting:5",0.143732167,0.000447872,0.1436272;0.1442232;0.1433461
