trim,voltage_mean_v
0,-0.127582803
1,0.437984886
2,0.438484452
3,0.439586596
4,0.439346813
5,0.440270382
6,0.440523688
7,0.441547629
8,0.440910741
9,0.442131717
10,0.442668477
11,0.443487673
12,0.443661366
13,0.443879661
14,0.444318133
15,0.444969278
16,0.44437746
17,0.445552099
18,0.446028529
19,0.446910041
20,0.447066291
21,0.447855089
22,0.448240144
23,0.448842207
24,0.448777602
25,0.449346928
26,0.450089237
27,0.450702518
28,0.450982769
29,0.45172771
30,0.45215986
31,0.452758897
32,0.451895351
33,0.452938919
